Date,Gasoline_Demand,Diesel_Demand,Crude_Price,Avg_Temperature,Holiday_Flag,Industrial_Activity_Index
2020-01-01,521958,328377,83.72177336747137,17.0707957587615,0,105.65847228515145
2020-01-02,546867,201622,75.66102792711317,65.91590627899085,1,98.85309696520866
2020-01-03,531932,248756,76.50487363394495,39.4677771035481,1,99.70533484685244
2020-01-04,503694,240809,87.82472585987227,44.58769811226779,0,105.55818813497073
2020-01-05,519879,216725,60.12873054417115,12.491927423471285,0,97.64726662123256
2020-01-06,510268,392468,84.78357349839362,30.766115942003935,0,98.86254690645829
2020-01-07,454886,251226,74.2197204176543,12.694112309957122,0,97.52380937539245
2020-01-08,537337,281182,91.76789325108336,80.33486180809982,0,97.3468103055456
2020-01-09,568266,229402,63.71962559292528,29.471734657482436,0,100.5189315380292
2020-01-10,487498,204263,83.52809067793562,54.586973565840644,0,106.17598889002302
2020-01-11,512727,377900,79.23891559544495,13.118345652890433,0,97.23536623845132
2020-01-12,526324,247924,85.6930210362091,63.34779130445264,1,100.48509441075474
2020-01-13,575203,274182,62.594143779318735,35.84218766032751,0,103.41454650885201
2020-01-14,591335,390124,83.19935149712525,81.83353495661326,0,95.3887889260731
2020-01-15,416023,342736,82.45938351838095,81.04945511472286,0,95.55045609804785
2020-01-16,441090,235737,82.42640377664684,36.023249468939824,0,108.6682625404691
2020-01-17,467221,301332,84.13950666385819,82.07687165523743,0,104.47069146662177
2020-01-18,464820,289563,87.05871748905449,89.69261387990231,0,101.54373352446618
2020-01-19,400769,360445,92.19955998723078,76.03325312991585,0,102.95440108841224
2020-01-20,459735,367469,70.79282880512858,77.58970782041831,0,90.58598886206836
2020-01-21,594027,328575,93.00197640720248,29.920698888727195,0,102.36205931123393
2020-01-22,464925,301371,79.93022729053814,56.1361919086205,0,100.19017746448404
2020-01-23,599041,238709,63.08233116537325,15.380473117389428,0,100.91499359558871
2020-01-24,405311,392192,62.342037169759166,17.593434945733577,0,97.18847653661634
2020-01-25,503355,350322,73.36953274784243,89.91140896266324,0,91.62947795425883
2020-01-26,584779,221172,91.3958790844587,36.13113995407288,0,93.86678467224104
2020-01-27,485305,211555,88.30723738963663,69.85471296390772,0,109.01489426425343
2020-01-28,559765,253276,91.54459858689626,74.53320424214532,0,98.17399124541868
2020-01-29,530608,257492,80.69076225766437,78.64186168057833,0,99.33366311661729
2020-01-30,556730,384074,77.60795991821962,89.81026379217252,0,91.05419579706879
2020-01-31,484478,289599,65.89810106825136,29.319718820549426,0,90.7513245908796
2020-02-01,522537,355834,73.12771014437246,13.228066148775977,0,104.34362894093515
2020-02-02,549503,211046,77.36077464695501,42.89532143956688,0,100.76189328242222
2020-02-03,530523,316021,63.54401718718469,20.406453586315756,0,100.17411968432533
2020-02-04,402747,359841,68.82447810844845,11.79407113296441,0,94.86249060845337
2020-02-05,523855,384374,83.92901176254955,38.83414617131889,0,104.89501463259845
2020-02-06,590222,354222,89.42652456956759,72.69906008601892,0,93.36473158216984
2020-02-07,465725,399319,99.93390045571799,55.29445529800567,0,93.7986948732204
2020-02-08,529981,204853,97.3245332537423,35.022239136828325,0,99.21424342696551
2020-02-09,484654,320900,85.70260798140767,62.34736043941758,0,95.72559724223882
2020-02-10,566845,352864,76.84992213176288,28.561454424704856,0,94.94925962466293
2020-02-11,519346,259129,85.4470945883293,11.150515685766802,0,102.90475289106664
2020-02-12,467435,314130,91.42606472320928,71.14827091491419,0,103.0194349043709
2020-02-13,456886,398370,64.7334476369355,59.89944678912073,0,106.49034139599858
2020-02-14,466803,363059,76.39619558785154,70.9842099600768,0,98.35417133945951
2020-02-15,431551,346922,93.59209142542468,13.115041335013249,0,91.461701820523
2020-02-16,516216,343184,75.35331807732176,76.96957022645218,0,95.47332769842916
2020-02-17,411394,321789,82.87489084908746,59.56209600290427,0,109.60010926393633
2020-02-18,469092,355130,83.51077443448793,55.07162805701121,0,101.92517150465405
2020-02-19,403890,376492,67.37905012534557,59.96912384916253,0,104.1947416960204
2020-02-20,441606,238890,74.48941766609154,79.15465974946913,0,90.1471565925083
2020-02-21,487313,266017,73.38045154967729,56.95492052471256,0,100.36411464365042
2020-02-22,541699,378376,61.047868341282594,56.476030391054344,0,90.75057315063606
2020-02-23,408792,363993,60.96767055565421,89.25433256526127,0,101.38460424182895
2020-02-24,574073,332596,93.26788174703094,70.53841336548544,0,108.4154169927215
2020-02-25,554969,300424,70.92283239891249,45.383504436090824,0,109.36838261000815
2020-02-26,468148,215048,80.72315064955262,66.59176000263422,0,100.81105350777848
2020-02-27,524243,366183,71.94902294355091,41.138437735343075,0,99.16409610504432
2020-02-28,520174,368976,97.62716980461362,28.31003699867992,0,108.90034188496988
2020-02-29,554555,254912,70.37187035463094,57.74815015102075,0,103.4721966399339
2020-03-01,524358,234008,77.1862725095574,84.25456784911611,0,91.29798559076819
2020-03-02,448555,331132,94.90921001938408,84.33116160123701,0,99.31451155334994
2020-03-03,417159,283559,93.67734267167235,37.352422248439225,0,94.80490036928607
2020-03-04,510510,255337,67.4440567138511,52.214197297735595,0,99.39608642897363
2020-03-05,506530,310616,92.10573239182841,26.930871885588896,0,99.10931144012723
2020-03-06,480077,213350,78.3274754695157,89.65048875991067,0,101.64289605629484
2020-03-07,435920,224354,79.31875488341421,88.48943262943486,0,97.13540980698502
2020-03-08,598193,245186,65.33919889663775,61.96071437659579,1,93.28540898911857
2020-03-09,419457,228145,63.22406055028499,74.35312477419787,0,100.07438869179913
2020-03-10,597629,365092,89.1175722789506,67.208012902696,0,106.60405768691524
2020-03-11,478953,286123,79.85844609421198,57.452657523157455,0,103.28024456135205
2020-03-12,452995,220581,77.47402810460719,14.267839759111816,0,96.76735731850431
2020-03-13,571829,288929,89.18032914609587,46.38114740421288,0,108.71046045517714
2020-03-14,409692,223051,90.6205159596444,63.98290417339284,0,108.24415142498364
2020-03-15,576830,251474,66.35632670677414,64.20252911069477,0,94.18696798768198
2020-03-16,596769,291748,84.40900597910566,39.849809473790685,0,90.78835170240725
2020-03-17,437065,325995,65.41416329110743,85.33535893264245,0,104.82617416701524
2020-03-18,499299,269626,90.05500344116183,23.38856257894248,0,106.55220522698306
2020-03-19,563678,206960,86.27820625068559,50.02875569724485,0,109.35729131902711
2020-03-20,411534,366844,98.26458484333831,65.27071812406582,0,107.79672788176622
2020-03-21,440397,352592,62.75832065425685,65.77086447134474,0,102.0106953641283
2020-03-22,491387,380553,62.282188846050175,61.89111654150524,1,100.60104678424761
2020-03-23,401016,236408,71.28748298772801,32.02305707614882,0,90.55682102525172
2020-03-24,455591,294006,70.46822734943623,22.496525494929756,0,94.93312893689556
2020-03-25,423247,257134,69.87915196287999,60.87522614613687,0,99.19229503465853
2020-03-26,424300,351563,96.25018322084146,57.94416929115502,0,102.57007800167136
2020-03-27,482798,332413,69.98184799398024,24.348480823139276,0,101.14503666636821
2020-03-28,409268,375695,70.87798904514524,66.41113164564507,0,104.85271979363381
2020-03-29,486807,290327,90.37593049671855,46.413759338692515,0,95.59533861774082
2020-03-30,412185,331410,77.9895936980216,63.420847328252236,0,101.29905215304946
